ch,sOpen,sSlope,pOpen11,pOpen12,pOpen13,pOpen14,pOpen15,pOpen16,pOpen17,pOpen18,pOpen19,pOpen21,pOpen22,pOpen23,pOpen24,pOpen25,pOpen26,pOpen27,pOpen28,pOpen29,pSlope11,pSlope12,pSlope13,pSlope14,pSlope15,pSlope16,pSlope17,pSlope18,pSlope19,pSlope21,pSlope22,pSlope23,pSlope24,pSlope25,pSlope26,pSlope27,pSlope28,pSlope29
.........0000..000,0.1272196,21.61655965,0,0,0,0,0,0,0,0,0,0.10619469,0.10619469,0.10619469,0.013574661,0.013574661,0.013574661,0.015625,0.015625,0.015625,0,0,0,0,0,0,0,0,0,14.83042782,14.83042782,14.83042782,17.26986874,17.26986874,17.26986874,12.9099225,12.9099225,12.9099225
.........01.00.00.,0.068345324,11.3137128,0,0,0,0,0,0,0,0,0,0.102678571,0.102678571,0.102678571,0.292237443,0.292237443,0.292237443,0,0,0,0,0,0,0,0,0,0,0,0,8.192093346,8.192093346,8.192093346,9.191709764,9.191709764,9.191709764,0,0,0
............001101,0.117382505,15.13010782,0,0,0,0,0,0,0,0,0,0.053333333,0.053333333,0.053333333,0.022421525,0.022421525,0.022421525,0.152466368,0.152466368,0.152466368,0,0,0,0,0,0,0,0,0,14.24797619,14.24797619,14.24797619,16.60160418,16.60160418,16.60160418,14.40604162,14.40604162,14.40604162
100......0..100100,0.053531264,16.61241902,0.005586592,0.005586592,0.005586592,0.039325843,0.039325843,0.039325843,0.022222222,0.022222222,0.022222222,0.004464286,0.004464286,0.004464286,0,0,0,0.017777778,0.017777778,0.017777778,24.54933213,24.54933213,24.54933213,11.95567636,11.95567636,11.95567636,17.87374632,17.87374632,17.87374632,21.34110717,21.34110717,21.34110717,18.40004964,18.40004964,18.40004964,17.36258852,17.36258852,17.36258852
000......000000000,0.038228019,15.21918082,0.011049724,0.011049724,0.011049724,0.039548023,0.039548023,0.039548023,0,0,0,0.07239819,0.07239819,0.07239819,0.035874439,0.035874439,0.035874439,0,0,0,12.50695715,12.50695715,12.50695715,14.25222055,14.25222055,14.25222055,13.60871633,13.60871633,13.60871633,16.77815796,16.77815796,16.77815796,17.84285078,17.84285078,17.84285078,14.08440087,14.08440087,14.08440087
.........0..000000,0.081233123,16.23925406,0,0,0,0,0,0,0,0,0,0,0,0,0.154545455,0.154545455,0.154545455,0.063636364,0.063636364,0.063636364,0,0,0,0,0,0,0,0,0,0,0,0,19.88428557,19.88428557,19.88428557,22.75310415,22.75310415,22.75310415
010......0001..111,0.130542426,14.11629779,0.027624309,0.027624309,0.027624309,0.331491713,0.331491713,0.331491713,0.161111111,0.161111111,0.161111111,0.220720721,0.220720721,0.220720721,0.053811659,0.053811659,0.053811659,0.389140271,0.389140271,0.389140271,7.896559078,7.896559078,7.896559078,15.02515674,15.02515674,15.02515674,18.29294125,18.29294125,18.29294125,11.80920144,11.80920144,11.80920144,14.06626029,14.06626029,14.06626029,12.14520891,12.14520891,12.14520891
101......011000001,0.040035987,18.38115553,0.039106145,0.039106145,0.039106145,0.077777778,0.077777778,0.077777778,0,0,0,0.049327354,0.049327354,0.049327354,0.022522523,0.022522523,0.022522523,0,0,0,20.88326758,20.88326758,20.88326758,22.02372506,22.02372506,22.02372506,14.74891473,14.74891473,14.74891473,18.99296985,18.99296985,18.99296985,18.79560034,18.79560034,18.79560034,14.59076872,14.59076872,14.59076872
000......001000000,0.04791901,13.05927512,0,0,0,0,0,0,0.005555556,0.005555556,0.005555556,0,0,0,0,0,0,0,0,0,8.421131839,8.421131839,8.421131839,13.3082993,13.3082993,13.3082993,13.66938167,13.66938167,13.66938167,12.93775869,12.93775869,12.93775869,12.41957313,12.41957313,12.41957313,9.515498948,9.515498948,9.515498948
............00.00.,0.032606251,21.60439429,0,0,0,0,0,0,0,0,0,0.00896861,0.00896861,0.00896861,0.027777778,0.027777778,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,23.66223493,23.66223493,23.66223493,16.42435048,16.42435048,16.42435048,0,0,0
.........00.00.00.,0.520917679,13.75915354,0,0,0,0,0,0,0,0,0,0.316964286,0.316964286,0.316964286,0.295964126,0.295964126,0.295964126,0,0,0,0,0,0,0,0,0,0,0,0,8.122702861,8.122702861,8.122702861,11.27512137,11.27512137,11.27512137,0,0,0
.........00000.100,0.072874494,25.95364984,0,0,0,0,0,0,0,0,0,0.03539823,0.03539823,0.03539823,0.013513514,0.013513514,0.013513514,0.008888889,0.008888889,0.008888889,0,0,0,0,0,0,0,0,0,12.67984997,12.67984997,12.67984997,21.53135436,21.53135436,21.53135436,24.19198129,24.19198129,24.19198129
.........00000000.,0.12525298,8.790672062,0,0,0,0,0,0,0,0,0,0.243243243,0.243243243,0.243243243,0.097777778,0.097777778,0.097777778,0.258215962,0.258215962,0.258215962,0,0,0,0,0,0,0,0,0,9.959639846,9.959639846,9.959639846,9.59199389,9.59199389,9.59199389,6.77691751,6.77691751,6.77691751
.........0000.011.,0.072698627,10.85204014,0,0,0,0,0,0,0,0,0,0.013761468,0.013761468,0.013761468,0.036036036,0.036036036,0.036036036,0.062222222,0.062222222,0.062222222,0,0,0,0,0,0,0,0,0,9.784315829,9.784315829,9.784315829,10.4220182,10.4220182,10.4220182,6.532502481,6.532502481,6.532502481
............00.00.,0.186009897,11.82470523,0,0,0,0,0,0,0,0,0,0.244343891,0.244343891,0.244343891,0.187214612,0.187214612,0.187214612,0,0,0,0,0,0,0,0,0,0,0,0,16.30647547,16.30647547,16.30647547,10.69953318,10.69953318,10.69953318,0,0,0
.........00.01.11.,0.143307087,28.06176859,0,0,0,0,0,0,0,0,0,0.309734513,0.309734513,0.309734513,0.099099099,0.099099099,0.099099099,0,0,0,0,0,0,0,0,0,0,0,0,24.59663936,24.59663936,24.59663936,20.24383634,20.24383634,20.24383634,0,0,0
.........00.11.11.,0.170490328,22.75404559,0,0,0,0,0,0,0,0,0,0.054545455,0.054545455,0.054545455,0.205479452,0.205479452,0.205479452,0,0,0,0,0,0,0,0,0,0,0,0,20.32562013,20.32562013,20.32562013,22.24394443,22.24394443,22.24394443,0,0,0
.........10.00.10.,0.121962196,20.2971809,0,0,0,0,0,0,0,0,0,0.057777778,0.057777778,0.057777778,0.050925926,0.050925926,0.050925926,0,0,0,0,0,0,0,0,0,0,0,0,17.05220169,17.05220169,17.05220169,11.86800768,11.86800768,11.86800768,0,0,0
.........11.01.01.,0.031046119,19.50148316,0,0,0,0,0,0,0,0,0,0.004484305,0.004484305,0.004484305,0.004484305,0.004484305,0.004484305,0,0,0,0,0,0,0,0,0,0,0,0,14.45929178,14.45929178,14.45929178,19.29157072,19.29157072,19.29157072,0,0,0
11.......010.0.000,0.027446569,19.65144822,0.005617978,0.005617978,0.005617978,0,0,0,0,0,0,0,0,0,0.091324201,0.091324201,0.091324201,0.035714286,0.035714286,0.035714286,13.32763508,13.32763508,13.32763508,10.44380193,10.44380193,10.44380193,0,0,0,10.40040076,10.40040076,10.40040076,12.49750877,12.49750877,12.49750877,16.34329772,16.34329772,16.34329772
00.......011000000,0.115834458,12.67188629,0.193370166,0.193370166,0.193370166,0.072222222,0.072222222,0.072222222,0,0,0,0.180555556,0.180555556,0.180555556,0.273972603,0.273972603,0.273972603,0.186363636,0.186363636,0.186363636,10.37383593,10.37383593,10.37383593,13.61294694,13.61294694,13.61294694,0,0,0,7.476248251,7.476248251,7.476248251,7.803754935,7.803754935,7.803754935,8.687809591,8.687809591,8.687809591
00.......100100010,0.053768279,10.59115106,0.062146893,0.062146893,0.062146893,0,0,0,0,0,0,0.03125,0.03125,0.03125,0.102222222,0.102222222,0.102222222,0,0,0,11.70150756,11.70150756,11.70150756,7.863763426,7.863763426,7.863763426,0,0,0,11.06823783,11.06823783,11.06823783,11.28077253,11.28077253,11.28077253,9.82149665,9.82149665,9.82149665
100......00.00.00.,0.039802114,10.98708304,0.022099448,0.022099448,0.022099448,0,0,0,0.005555556,0.005555556,0.005555556,0.02739726,0.02739726,0.02739726,0,0,0,0,0,0,12.84535781,12.84535781,12.84535781,16.44422367,16.44422367,16.44422367,12.73421846,12.73421846,12.73421846,12.15101981,12.15101981,12.15101981,15.47764452,15.47764452,15.47764452,0,0,0
.........0001.0100,0.053294356,12.63320772,0,0,0,0,0,0,0,0,0,0,0,0,0.013574661,0.013574661,0.013574661,0.009174312,0.009174312,0.009174312,0,0,0,0,0,0,0,0,0,7.740583992,7.740583992,7.740583992,14.40475969,14.40475969,14.40475969,15.39391362,15.39391362,15.39391362
.........0000001.0,0.136619401,12.23513689,0,0,0,0,0,0,0,0,0,0,0,0,0.105504587,0.105504587,0.105504587,0.189427313,0.189427313,0.189427313,0,0,0,0,0,0,0,0,0,11.15538388,11.15538388,11.15538388,13.56585749,13.56585749,13.56585749,17.15845764,17.15845764,17.15845764
.........010110111,0.0317139,16.74742743,0,0,0,0,0,0,0,0,0,0.013574661,0.013574661,0.013574661,0.030837004,0.030837004,0.030837004,0.054054054,0.054054054,0.054054054,0,0,0,0,0,0,0,0,0,18.88693047,18.88693047,18.88693047,16.23269013,16.23269013,16.23269013,23.57964406,23.57964406,23.57964406
.........00100111.,0.143082115,17.61490558,0,0,0,0,0,0,0,0,0,0.247747748,0.247747748,0.247747748,0.342465753,0.342465753,0.342465753,0.299559471,0.299559471,0.299559471,0,0,0,0,0,0,0,0,0,12.92974105,12.92974105,12.92974105,13.39538552,13.39538552,13.39538552,10.51058203,10.51058203,10.51058203
............00.00.,0.154520918,14.88713124,0,0,0,0,0,0,0,0,0,0.056338028,0.056338028,0.056338028,0.305936073,0.305936073,0.305936073,0,0,0,0,0,0,0,0,0,0,0,0,18.18752867,18.18752867,18.18752867,16.37706096,16.37706096,16.37706096,0,0,0
.........00000000.,0.124859393,6.453862358,0,0,0,0,0,0,0,0,0,0.112107623,0.112107623,0.112107623,0.03652968,0.03652968,0.03652968,0.004484305,0.004484305,0.004484305,0,0,0,0,0,0,0,0,0,6.423309853,6.423309853,6.423309853,7.49451731,7.49451731,7.49451731,8.472899582,8.472899582,8.472899582
000......00100.11.,0.076923077,13.204568,0,0,0,0.100558659,0.100558659,0.100558659,0.066666667,0.066666667,0.066666667,0.089285714,0.089285714,0.089285714,0.101769912,0.101769912,0.101769912,0.063063063,0.063063063,0.063063063,13.59977828,13.59977828,13.59977828,11.92779196,11.92779196,11.92779196,13.29062252,13.29062252,13.29062252,11.77949723,11.77949723,11.77949723,12.93033617,12.93033617,12.93033617,14.19787818,14.19787818,14.19787818
011010...00.00.00.,0.156875985,18.4555612,0.011173184,0.011173184,0.011173184,0.407821229,0.407821229,0.407821229,0.105555556,0.105555556,0.105555556,0.36199095,0.36199095,0.36199095,0.018018018,0.018018018,0.018018018,0,0,0,17.60263043,17.60263043,17.60263043,14.6830513,14.6830513,14.6830513,15.19095452,15.19095452,15.19095452,14.58699786,14.58699786,14.58699786,17.69161583,17.69161583,17.69161583,0,0,0
00.......00.00.00.,0.071766029,12.21063017,0.033333333,0.033333333,0.033333333,0.184357542,0.184357542,0.184357542,0,0,0,0.136363636,0.136363636,0.136363636,0.103139013,0.103139013,0.103139013,0,0,0,10.89208641,10.89208641,10.89208641,10.62705844,10.62705844,10.62705844,0,0,0,4.346044071,4.346044071,4.346044071,7.104085548,7.104085548,7.104085548,0,0,0
00.......00.00.00.,0.114536454,10.85673891,0.005524862,0.005524862,0.005524862,0.235955056,0.235955056,0.235955056,0,0,0,0.246636771,0.246636771,0.246636771,0.296460177,0.296460177,0.296460177,0,0,0,5.669605209,5.669605209,5.669605209,7.824005749,7.824005749,7.824005749,0,0,0,5.824048022,5.824048022,5.824048022,9.435615241,9.435615241,9.435615241,0,0,0
001......00.11.10.,0.107038453,11.19094448,0.225988701,0.225988701,0.225988701,0.011173184,0.011173184,0.011173184,0.219101124,0.219101124,0.219101124,0.022421525,0.022421525,0.022421525,0.017777778,0.017777778,0.017777778,0,0,0,5.001254234,5.001254234,5.001254234,15.13000656,15.13000656,15.13000656,4.75510489,4.75510489,4.75510489,9.85339747,9.85339747,9.85339747,15.24539441,15.24539441,15.24539441,0,0,0
00.......00000.000,0.076698156,17.64818752,0.243093923,0.243093923,0.243093923,0.215469613,0.215469613,0.215469613,0,0,0,0.201793722,0.201793722,0.201793722,0.044843049,0.044843049,0.044843049,0.206278027,0.206278027,0.206278027,18.46106158,18.46106158,18.46106158,20.91829859,20.91829859,20.91829859,0,0,0,18.71794219,18.71794219,18.71794219,16.5587026,16.5587026,16.5587026,17.08701525,17.08701525,17.08701525
.........000000000,0.159576862,9.337831714,0,0,0,0,0,0,0,0,0,0.02739726,0.02739726,0.02739726,0.036199095,0.036199095,0.036199095,0.017857143,0.017857143,0.017857143,0,0,0,0,0,0,0,0,0,26.53918369,26.53918369,26.53918369,6.674089067,6.674089067,6.674089067,3.982725938,3.982725938,3.982725938
00.10....00.00.00.,0.268391451,10.51764004,0.252747253,0.252747253,0.252747253,0.155555556,0.155555556,0.155555556,0,0,0,0.271111111,0.271111111,0.271111111,0.240740741,0.240740741,0.240740741,0,0,0,11.15681271,11.15681271,11.15681271,15.697754,15.697754,15.697754,0,0,0,12.24176721,12.24176721,12.24176721,3.042212632,3.042212632,3.042212632,0,0,0
011000....00100.01,0.081646424,13.77858224,0.005617978,0.005617978,0.005617978,0.056179775,0.056179775,0.056179775,0.452513966,0.452513966,0.452513966,0.032110092,0.032110092,0.032110092,0.044843049,0.044843049,0.044843049,0.004464286,0.004464286,0.004464286,8.30703142,8.30703142,8.30703142,15.05976091,15.05976091,15.05976091,20.0444146,20.0444146,20.0444146,16.02107236,16.02107236,16.02107236,9.775279072,9.775279072,9.775279072,10.07646442,10.07646442,10.07646442
000000...0000.0000,0.135688569,16.3484711,0.016949153,0.016949153,0.016949153,0.039106145,0.039106145,0.039106145,0.078651685,0.078651685,0.078651685,0.013452915,0.013452915,0.013452915,0.049773756,0.049773756,0.049773756,0.126126126,0.126126126,0.126126126,12.49111687,12.49111687,12.49111687,15.7944477,15.7944477,15.7944477,16.84372277,16.84372277,16.84372277,17.08298263,17.08298263,17.08298263,13.97658715,13.97658715,13.97658715,19.41329357,19.41329357,19.41329357
.........00.00.0..,0.265976598,9.261649918,0,0,0,0,0,0,0,0,0,0.202702703,0.202702703,0.202702703,0.205357143,0.205357143,0.205357143,0,0,0,0,0,0,0,0,0,0,0,0,10.70999439,10.70999439,10.70999439,9.93733763,9.93733763,9.93733763,0,0,0
000......000000000,0.182452193,13.31734264,0.15,0.15,0.15,0.527777778,0.527777778,0.527777778,0.263736264,0.263736264,0.263736264,0.189189189,0.189189189,0.189189189,0.09375,0.09375,0.09375,0.137777778,0.137777778,0.137777778,16.62770005,16.62770005,16.62770005,18.9552887,18.9552887,18.9552887,17.61880196,17.61880196,17.61880196,9.343572025,9.343572025,9.343572025,10.37101383,10.37101383,10.37101383,16.31207039,16.31207039,16.31207039
..........00000.00,0.143114311,7.995891018,0,0,0,0,0,0,0,0,0,0.133333333,0.133333333,0.133333333,0.255605381,0.255605381,0.255605381,0.049773756,0.049773756,0.049773756,0,0,0,0,0,0,0,0,0,5.50222345,5.50222345,5.50222345,8.177720125,8.177720125,8.177720125,12.55717677,12.55717677,12.55717677
.........00.01.00.,0.11136108,4.99555808,0,0,0,0,0,0,0,0,0,0.122727273,0.122727273,0.122727273,0.067567568,0.067567568,0.067567568,0,0,0,0,0,0,0,0,0,0,0,0,4.04313217,4.04313217,4.04313217,3.160973242,3.160973242,3.160973242,0,0,0
.........00.00.00.,0.298853159,16.45462698,0,0,0,0,0,0,0,0,0,0.495495495,0.495495495,0.495495495,0.263392857,0.263392857,0.263392857,0,0,0,0,0,0,0,0,0,0,0,0,14.22751952,14.22751952,14.22751952,15.47966955,15.47966955,15.47966955,0,0,0
.........111011000,0.069981998,22.76382808,0,0,0,0,0,0,0,0,0,0.100917431,0.100917431,0.100917431,0.013392857,0.013392857,0.013392857,0.039823009,0.039823009,0.039823009,0,0,0,0,0,0,0,0,0,20.38238557,20.38238557,20.38238557,26.184157,26.184157,26.184157,18.26629245,18.26629245,18.26629245
............00.00.,0.392664266,20.26032361,0,0,0,0,0,0,0,0,0,0.279279279,0.279279279,0.279279279,0.502262443,0.502262443,0.502262443,0,0,0,0,0,0,0,0,0,0,0,0,11.33458418,11.33458418,11.33458418,14.78115465,14.78115465,14.78115465,0,0,0
.........00.00.01.,0.107785779,14.93274676,0,0,0,0,0,0,0,0,0,0.004524887,0.004524887,0.004524887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.910105037,5.910105037,5.910105037,13.52256619,13.52256619,13.52256619,0,0,0
000......000000000,0.086633663,18.93892158,0.010928962,0.010928962,0.010928962,0.074285714,0.074285714,0.074285714,0.083798883,0.083798883,0.083798883,0.022321429,0.022321429,0.022321429,0.076923077,0.076923077,0.076923077,0.148648649,0.148648649,0.148648649,17.30152996,17.30152996,17.30152996,19.25790895,19.25790895,19.25790895,15.96756126,15.96756126,15.96756126,15.84784132,15.84784132,15.84784132,16.60521071,16.60521071,16.60521071,19.97249486,19.97249486,19.97249486
00.......000000000,0.04410441,18.60868469,0.016759777,0.016759777,0.016759777,0.056179775,0.056179775,0.056179775,0,0,0,0,0,0,0.044642857,0.044642857,0.044642857,0.017777778,0.017777778,0.017777778,17.27389187,17.27389187,17.27389187,15.60594577,15.60594577,15.60594577,0,0,0,10.42567854,10.42567854,10.42567854,17.73431672,17.73431672,17.73431672,7.749861889,7.749861889,7.749861889
00.......10.01.11.,0.062261182,21.47461934,0.005617978,0.005617978,0.005617978,0.011111111,0.011111111,0.011111111,0,0,0,0.008849558,0.008849558,0.008849558,0.058035714,0.058035714,0.058035714,0,0,0,10.32149632,10.32149632,10.32149632,23.92839069,23.92839069,23.92839069,0,0,0,10.73893479,10.73893479,10.73893479,14.12652912,14.12652912,14.12652912,0,0,0
00.......100000000,0.070416198,13.72065693,0.022222222,0.022222222,0.022222222,0.100558659,0.100558659,0.100558659,0,0,0,0.066666667,0.066666667,0.066666667,0.131221719,0.131221719,0.131221719,0.081081081,0.081081081,0.081081081,14.16083111,14.16083111,14.16083111,22.37249004,22.37249004,22.37249004,0,0,0,15.25111748,15.25111748,15.25111748,16.69886804,16.69886804,16.69886804,8.108680501,8.108680501,8.108680501
000......000000000,0.143821742,16.72507847,0.230769231,0.230769231,0.230769231,0.134831461,0.134831461,0.134831461,0.211111111,0.211111111,0.211111111,0.161434978,0.161434978,0.161434978,0.04954955,0.04954955,0.04954955,0.182222222,0.182222222,0.182222222,19.49434037,19.49434037,19.49434037,21.2288209,21.2288209,21.2288209,25.40365836,25.40365836,25.40365836,20.09138283,20.09138283,20.09138283,22.36347207,22.36347207,22.36347207,24.21943275,24.21943275,24.21943275
000......00.101110,0.049718785,14.14437904,0.038251366,0.038251366,0.038251366,0.12568306,0.12568306,0.12568306,0.011235955,0.011235955,0.011235955,0.091743119,0.091743119,0.091743119,0.063926941,0.063926941,0.063926941,0.008849558,0.008849558,0.008849558,17.1639228,17.1639228,17.1639228,12.11120278,12.11120278,12.11120278,17.4542203,17.4542203,17.4542203,7.082439783,7.082439783,7.082439783,18.68998419,18.68998419,18.68998419,16.7928525,16.7928525,16.7928525
000......001000000,0.071766029,14.34686245,0.133333333,0.133333333,0.133333333,0.044692737,0.044692737,0.044692737,0.203296703,0.203296703,0.203296703,0.027522936,0.027522936,0.027522936,0.035242291,0.035242291,0.035242291,0.12,0.12,0.12,13.64675715,13.64675715,13.64675715,14.01520961,14.01520961,14.01520961,16.8633875,16.8633875,16.8633875,9.20022132,9.20022132,9.20022132,16.33866123,16.33866123,16.33866123,17.31362014,17.31362014,17.31362014
000......000101000,0.061206121,10.21715101,0,0,0,0.056179775,0.056179775,0.056179775,0.067039106,0.067039106,0.067039106,0,0,0,0,0,0,0.085201794,0.085201794,0.085201794,5.533754901,5.533754901,5.533754901,8.875445585,8.875445585,8.875445585,8.549831444,8.549831444,8.549831444,6.45242497,6.45242497,6.45242497,8.404451034,8.404451034,8.404451034,10.78628606,10.78628606,10.78628606
.........11.11.11.,0.132283465,20.45141542,0,0,0,0,0,0,0,0,0,0.137777778,0.137777778,0.137777778,0.205357143,0.205357143,0.205357143,0,0,0,0,0,0,0,0,0,0,0,0,17.0050018,17.0050018,17.0050018,21.16636645,21.16636645,21.16636645,0,0,0
.........1.1010100,0.065721359,17.80008961,0,0,0,0,0,0,0,0,0,0.304545455,0.304545455,0.304545455,0.192825112,0.192825112,0.192825112,0.00462963,0.00462963,0.00462963,0,0,0,0,0,0,0,0,0,17.83650484,17.83650484,17.83650484,20.40293194,20.40293194,20.40293194,18.75994444,18.75994444,18.75994444
.........000000000,0.158865887,18.89091011,0,0,0,0,0,0,0,0,0,0.01826484,0.01826484,0.01826484,0.009049774,0.009049774,0.009049774,0.0625,0.0625,0.0625,0,0,0,0,0,0,0,0,0,24.77753027,24.77753027,24.77753027,22.94107951,22.94107951,22.94107951,21.97699168,21.97699168,21.97699168
.........0.00.0000,0.153205849,9.092581738,0,0,0,0,0,0,0,0,0,0.273542601,0.273542601,0.273542601,0.227678571,0.227678571,0.227678571,0.116071429,0.116071429,0.116071429,0,0,0,0,0,0,0,0,0,3.882006999,3.882006999,3.882006999,6.990038147,6.990038147,6.990038147,11.3781368,11.3781368,11.3781368
.........00.00.00.,0.157255343,16.92862121,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.18018018,0.18018018,0.18018018,0,0,0,0,0,0,0,0,0,0,0,0,11.6864474,11.6864474,11.6864474,22.26023878,22.26023878,22.26023878,0,0,0
............00.00.,0.278315695,13.4767997,0,0,0,0,0,0,0,0,0,0.058823529,0.058823529,0.058823529,0.383928571,0.383928571,0.383928571,0,0,0,0,0,0,0,0,0,0,0,0,5.872811519,5.872811519,5.872811519,6.411145658,6.411145658,6.411145658,0,0,0
..........0.00.00.,0.130033746,12.79720743,0,0,0,0,0,0,0,0,0,0.20361991,0.20361991,0.20361991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.145545846,2.145545846,2.145545846,5.167351216,5.167351216,5.167351216,0,0,0
.........00.00.00.,0.255735493,14.05797584,0,0,0,0,0,0,0,0,0,0.592760181,0.592760181,0.592760181,0.20361991,0.20361991,0.20361991,0,0,0,0,0,0,0,0,0,0,0,0,9.574368816,9.574368816,9.574368816,24.58663412,24.58663412,24.58663412,0,0,0
.........00000.00.,0.4909991,13.90910819,0,0,0,0,0,0,0,0,0,0.795454545,0.795454545,0.795454545,0.641255605,0.641255605,0.641255605,0.28125,0.28125,0.28125,0,0,0,0,0,0,0,0,0,16.00654814,16.00654814,16.00654814,11.20475942,11.20475942,11.20475942,16.57555637,16.57555637,16.57555637
00.......000000000,0.354040063,10.41185882,0.43575419,0.43575419,0.43575419,0.279329609,0.279329609,0.279329609,0,0,0,0.189814815,0.189814815,0.189814815,0.792792793,0.792792793,0.792792793,0.22972973,0.22972973,0.22972973,10.84960776,10.84960776,10.84960776,7.175389373,7.175389373,7.175389373,0,0,0,10.34799246,10.34799246,10.34799246,6.290848549,6.290848549,6.290848549,8.529396752,8.529396752,8.529396752
00.......000000000,0.100337458,11.04269151,0.005586592,0.005586592,0.005586592,0.077777778,0.077777778,0.077777778,0,0,0,0,0,0,0.022321429,0.022321429,0.022321429,0.018018018,0.018018018,0.018018018,7.778309333,7.778309333,7.778309333,15.55359952,15.55359952,15.55359952,0,0,0,7.150458658,7.150458658,7.150458658,11.44477291,11.44477291,11.44477291,8.021190333,8.021190333,8.021190333
000......00000000.,0.132372805,15.50725402,0.111731844,0.111731844,0.111731844,0.201117318,0.201117318,0.201117318,0.049723757,0.049723757,0.049723757,0.239819005,0.239819005,0.239819005,0.054545455,0.054545455,0.054545455,0.040178571,0.040178571,0.040178571,10.55305036,10.55305036,10.55305036,13.31199281,13.31199281,13.31199281,18.21530451,18.21530451,18.21530451,13.93324012,13.93324012,13.93324012,13.76600551,13.76600551,13.76600551,18.74164819,18.74164819,18.74164819
100......00000000.,0.180161943,12.49503519,0.173184358,0.173184358,0.173184358,0.571428571,0.571428571,0.571428571,0.028089888,0.028089888,0.028089888,0.542222222,0.542222222,0.542222222,0.168888889,0.168888889,0.168888889,0.097345133,0.097345133,0.097345133,19.23655001,19.23655001,19.23655001,13.17466011,13.17466011,13.17466011,6.16481855,6.16481855,6.16481855,10.87415673,10.87415673,10.87415673,18.82936691,18.82936691,18.82936691,5.555372623,5.555372623,5.555372623
00.......000000000,0.08143982,14.00046606,0,0,0,0.033519553,0.033519553,0.033519553,0,0,0,0.013452915,0.013452915,0.013452915,0.013452915,0.013452915,0.013452915,0.032407407,0.032407407,0.032407407,22.20399753,22.20399753,22.20399753,6.879159829,6.879159829,6.879159829,0,0,0,13.15344793,13.15344793,13.15344793,11.34689288,11.34689288,11.34689288,6.677369074,6.677369074,6.677369074
000.........00.00.,0.110661269,19.0908135,0.093922652,0.093922652,0.093922652,0.144444444,0.144444444,0.144444444,0.095505618,0.095505618,0.095505618,0.177777778,0.177777778,0.177777778,0.333333333,0.333333333,0.333333333,0,0,0,14.67629398,14.67629398,14.67629398,20.33409104,20.33409104,20.33409104,19.09136999,19.09136999,19.09136999,16.3454394,16.3454394,16.3454394,15.21980985,15.21980985,15.21980985,0,0,0
000......00.00.00.,0.051483813,10.37604637,0.02259887,0.02259887,0.02259887,0.131868132,0.131868132,0.131868132,0.095505618,0.095505618,0.095505618,0.036036036,0.036036036,0.036036036,0.046296296,0.046296296,0.046296296,0,0,0,6.169385793,6.169385793,6.169385793,16.4430303,16.4430303,16.4430303,9.816147366,9.816147366,9.816147366,9.726089502,9.726089502,9.726089502,13.92057826,13.92057826,13.92057826,0,0,0
000......0...00000,0.150090009,19.7764287,0.022222222,0.022222222,0.022222222,0.027932961,0.027932961,0.027932961,0.127777778,0.127777778,0.127777778,0.13963964,0.13963964,0.13963964,0.067264574,0.067264574,0.067264574,0.004524887,0.004524887,0.004524887,17.1401071,17.1401071,17.1401071,11.10918432,11.10918432,11.10918432,19.77757663,19.77757663,19.77757663,19.36833078,19.36833078,19.36833078,20.09105915,20.09105915,20.09105915,10.61833022,10.61833022,10.61833022
00.......0.0000000,0.189833558,16.71477136,0.011111111,0.011111111,0.011111111,0.005555556,0.005555556,0.005555556,0,0,0,0.460176991,0.460176991,0.460176991,0.035555556,0.035555556,0.035555556,0.098654709,0.098654709,0.098654709,3.787125043,3.787125043,3.787125043,8.037595962,8.037595962,8.037595962,0,0,0,21.1442518,21.1442518,21.1442518,11.42940002,11.42940002,11.42940002,8.885108781,8.885108781,8.885108781
...............01.,0.639063906,12.54093962,0,0,0,0,0,0,0,0,0,0.696428571,0.696428571,0.696428571,0.288990826,0.288990826,0.288990826,0,0,0,0,0,0,0,0,0,0,0,0,13.08375659,13.08375659,13.08375659,12.59254801,12.59254801,12.59254801,0,0,0
.........00.10.00.,0.173531398,10.55068876,0,0,0,0,0,0,0,0,0,0.053571429,0.053571429,0.053571429,0.110091743,0.110091743,0.110091743,0,0,0,0,0,0,0,0,0,0,0,0,15.73330431,15.73330431,15.73330431,5.402540042,5.402540042,5.402540042,0,0,0
.........0000.0000,0.282241729,21.54459186,0,0,0,0,0,0,0,0,0,0.197247706,0.197247706,0.197247706,0.130044843,0.130044843,0.130044843,0.302752294,0.302752294,0.302752294,0,0,0,0,0,0,0,0,0,21.14837425,21.14837425,21.14837425,20.24724913,20.24724913,20.24724913,20.10727322,20.10727322,20.10727322
.........000000000,0.186768677,19.62230115,0,0,0,0,0,0,0,0,0,0.40625,0.40625,0.40625,0.147982063,0.147982063,0.147982063,0.240909091,0.240909091,0.240909091,0,0,0,0,0,0,0,0,0,10.98868631,10.98868631,10.98868631,2.681008143,2.681008143,2.681008143,8.022905188,8.022905188,8.022905188
