FirstFound	LastPresent	LastChecked	Fate	Freq	Robel	PpnGrass	Native	Planted	Wetland	Roadside	AgeFound	AgeDay1
13	39	39	0	1	2	0.8765	0	1	0	0	9	-3
13	13	17	1	1	2.875	0.8765	0	1	0	0	9	-3
15	37	39	1	1	2.5	0.9248	0	1	0	0	11	-3
10	21	25	1	1	4.375	0.229	0	1	0	0	6	-3
25	25	30	1	1	2.5	0.6587	1	0	0	0	21	-3
30	38	38	0	1	2.375	0.6587	0	1	0	0	26	-3
8	22	27	1	1	3.875	0.229	0	1	0	0	5	-2
8	17	23	1	1	5.625	0.9378	1	0	0	0	5	-2
9	38	38	0	1	3.375	0.229	1	0	0	0	6	-2
23	38	38	0	1	2.875	0.9378	0	1	0	0	20	-2
12	22	27	1	1	3	0.229	0	0	1	0	9	-2
13	36	36	0	1	2.5	0.229	0	0	0	0	10	-2
6	29	32	1	1	4	0.229	1	0	0	0	3	-2
10	10	15	1	1	2.75	0.229	0	1	0	0	7	-2
10	15	21	1	1	4.25	0.229	0	0	1	0	7	-2
30	38	38	0	1	2.375	0.6587	0	0	0	1	27	-2
20	38	38	0	1	5.875	0.9248	1	0	0	0	17	-2
10	37	37	0	1	2.875	0.9197	0	1	0	0	7	-2
13	38	38	0	1	2.75	0.6607	0	1	0	0	10	-2
10	21	25	1	1	4.75	0.229	0	1	0	0	7	-2
13	36	36	0	1	1.25	0.6607	0	1	0	0	10	-2
10	14	20	1	1	3	0.9197	0	1	0	0	7	-2
30	38	38	0	1	2.125	0.6587	0	1	0	0	27	-2
16	38	38	0	1	3.125	0.6607	0	1	0	0	13	-2
17	22	27	1	1	4	0.6607	1	0	0	0	14	-2
20	35	35	0	1	1.75	0.9378	1	0	0	0	17	-2
10	10	14	1	1	3.75	0.9197	0	1	0	0	8	-1
9	9	13	1	1	5.75	0.9197	1	0	0	0	7	-1
8	12	17	1	1	4.25	0.9378	1	0	0	0	6	-1
7	30	35	1	1	2.75	0.229	0	1	0	0	5	-1
7	17	22	1	1	4.5	0.229	0	1	0	0	5	-1
10	15	21	1	1	3	0.229	0	0	1	0	8	-1
11	26	31	1	1	5.75	0.229	0	0	1	0	9	-1
11	37	37	0	1	3.375	0.229	0	0	0	1	9	-1
30	30	37	1	1	4.125	0.6587	0	1	0	0	28	-1
14	37	37	0	1	4	0.9248	1	0	0	0	12	-1
14	30	37	1	1	3.125	0.9248	1	0	0	0	12	-1
11	31	36	1	1	3.25	0.229	1	0	0	0	9	-1
11	26	31	1	1	2.5	0.229	1	0	0	0	9	-1
10	10	14	1	1	3.75	0.9197	0	1	0	0	8	-1
10	37	37	0	1	3.375	0.9197	0	1	0	0	8	-1
5	20	24	1	1	3.25	0.229	1	0	0	0	3	-1
10	36	36	0	1	2.75	0.9197	0	1	0	0	8	-1
11	15	21	1	1	4	0.229	0	0	1	0	9	-1
10	14	20	1	1	2.125	0.9197	0	1	0	0	8	-1
6	6	11	1	1	2.625	0.229	0	0	1	0	4	-1
9	36	36	0	1	1.75	0.9197	1	0	0	0	8	0
24	24	29	1	1	3.625	0.9671	1	0	0	0	23	0
11	21	24	1	1	3.75	0.8765	0	1	0	0	10	0
28	34	34	0	1	3.625	0.9671	0	1	0	0	27	0
9	36	36	0	1	4.725	0.9197	1	0	0	0	8	0
10	14	20	1	1	4	0.9197	0	1	0	0	9	0
9	25	25	0	1	5.75	0.9197	0	1	0	0	8	0
11	35	35	0	1	3.625	0.229	0	1	0	0	10	0
10	10	15	1	1	4.875	0.229	0	1	0	0	9	0
10	33	33	0	1	4.75	0.229	0	0	1	0	9	0
10	35	35	0	1	5.875	0.229	0	1	0	0	9	0
10	33	33	0	1	4.5	0.229	0	1	0	0	9	0
10	36	36	0	1	5.375	0.229	0	1	0	0	9	0
7	16	21	1	1	4.25	0.229	0	1	0	0	6	0
6	35	35	0	1	3.75	0.229	0	1	0	0	5	0
6	36	36	0	1	4.25	0.229	1	0	0	0	5	0
23	32	35	1	1	2.375	0.6587	0	1	0	0	23	1
10	10	15	1	1	3.375	0.229	0	1	0	0	10	1
23	27	32	1	1	2	0.6587	0	1	0	0	23	1
1	35	35	0	1	4.5	0.9616	0	1	0	0	1	1
4	9	14	1	1	3.875	0.9378	1	0	0	0	4	1
24	35	35	0	1	2.375	0.9671	0	0	1	0	24	1
9	9	13	1	1	6	0.9197	0	1	0	0	9	1
8	23	28	1	1	3.125	0.229	1	0	0	0	8	1
23	23	28	1	1	3.125	0.9378	0	1	0	0	23	1
7	34	34	0	1	3.375	0.229	0	1	0	0	7	1
8	22	27	1	1	3.75	0.229	0	1	0	0	9	2
9	13	20	1	1	2.375	0.9197	1	0	0	0	10	2
16	34	34	0	1	3.25	0.6607	0	1	0	0	17	2
10	14	21	1	1	3.625	0.9197	0	1	0	0	11	2
6	20	25	1	1	3.875	0.229	0	0	1	0	7	2
26	34	34	0	1	2.5	0.9671	0	1	0	0	27	2
23	23	27	1	1	3.5	0.6587	0	1	0	0	24	2
8	8	13	1	1	3.375	0.229	0	1	0	0	9	2
7	34	34	0	1	3.625	0.229	0	1	0	0	8	2
30	34	34	0	1	1.75	0.6587	0	1	0	0	31	2
8	12	17	1	1	5.625	0.9197	1	0	0	0	9	2
3	26	30	1	1	2.75	0.9378	0	1	0	0	4	2
10	27	27	0	1	3.375	0.9197	0	0	0	1	12	3
3	13	17	1	1	3.75	0.9378	0	1	0	0	5	3
8	13	17	1	1	4.375	0.229	0	1	0	0	10	3
2	7	12	1	1	1.625	0.9378	1	0	0	0	4	3
4	9	14	1	1	3.875	0.9378	1	0	0	0	6	3
8	23	29	1	1	5	0.9197	1	0	0	0	10	3
7	12	17	1	1	5.375	0.229	0	1	0	0	9	3
1	31	33	1	1	3.375	0.9616	0	1	0	0	3	3
7	17	22	1	1	0.875	0.229	0	1	0	0	9	3
14	33	33	0	1	3.125	0.8765	1	0	0	0	16	3
6	11	15	1	1	3.125	0.229	1	0	0	0	8	3
1	15	21	1	1	0.875	0.9616	0	1	0	0	3	3
1	11	15	1	1	2.75	0.9616	0	1	0	0	3	3
2	2	7	1	1	1.875	0.9616	0	0	0	1	4	3
7	12	12	0	1	3	0.229	0	1	0	0	10	4
17	32	32	0	1	5.875	0.9248	1	0	0	0	20	4
7	7	12	1	1	2.75	0.229	0	0	1	0	10	4
30	31	31	0	1	1.875	0.6587	0	1	0	0	33	4
2	7	12	1	1	2.75	0.9616	1	0	0	0	5	4
14	32	32	0	1	3.75	0.9248	1	0	0	0	17	4
23	27	32	1	1	3.375	0.6587	0	1	0	0	26	4
8	22	27	1	1	4	0.229	0	1	0	0	11	4
10	30	30	0	1	4.125	0.9197	0	1	0	0	14	5
3	31	31	0	1	4.375	0.9616	0	1	0	0	7	5
23	29	29	0	1	2.625	0.9378	0	1	0	0	27	5
4	30	31	1	1	2.375	0.9378	1	0	0	0	8	5
7	12	17	1	1	8	0.229	0	1	0	0	11	5
10	15	21	1	1	4.5	0.229	0	1	0	0	14	5
12	27	30	1	1	2	0.229	0	0	0	1	17	6
15	20	24	1	1	3	0.9248	0	1	0	0	20	6
21	30	30	0	1	3.125	0.9248	1	0	0	0	26	6
13	30	30	0	1	3.375	0.8765	0	1	0	0	18	6
4	19	23	1	1	4.125	0.229	0	1	0	0	9	6
14	30	30	0	1	5.25	0.9248	0	0	1	0	19	6
21	30	30	0	1	4.25	0.9248	1	0	0	0	26	6
4	30	30	0	1	2	0.9378	1	0	0	0	9	6
10	14	20	1	1	2.25	0.9197	0	1	0	0	16	7
4	9	14	1	1	1.625	0.9378	1	0	0	0	10	7
26	29	29	0	1	2.5	0.9671	0	1	0	0	32	7
10	15	21	1	1	4.25	0.229	0	0	1	0	16	7
15	20	25	1	1	4.625	0.6607	1	0	0	0	21	7
13	13	17	1	1	2.25	0.8765	0	1	0	0	20	8
16	26	26	0	1	3.25	0.6607	0	1	0	0	25	10
16	16	21	1	1	4	0.6607	0	1	0	0	25	10
